epoch,step,loss_q1,loss_q2,loss_pi,q1_val,q2_val,grad_q1,grad_q2,grad_pi_rob,grad_pi_adv,mean_return,mean_length,episodes,dist_episodes,buffer_size,elapsed_s
1,3900,,,,,,,,,,4.57,6.4,563,279,4000,0.3
2,7900,,,,,,,,,,6.90,8.9,441,231,8000,0.6
3,11900,0.235186,0.185292,-0.608597,0.5319,0.5856,0.8511,0.6554,0.7168,0.0410,4.22,6.2,703,356,12000,1.4
4,15900,0.085240,0.077703,-0.796198,0.6788,0.6823,0.9832,0.6665,0.1609,0.0102,2.00,4.0,1000,502,16000,2.2
5,19900,,,,,,,,,,2.00,4.0,1000,500,20000,2.4
6,23900,0.057955,0.055655,-0.787599,0.7074,0.7071,0.2555,0.1368,0.0498,0.0012,2.00,4.0,1000,511,24000,3.1
7,27900,0.049974,0.047044,-0.800839,0.7394,0.7388,0.1534,0.1300,0.0216,0.0008,2.00,4.0,1000,483,28000,3.8
8,31900,0.039423,0.037112,-0.812531,0.7795,0.7783,0.1745,0.1510,0.0076,0.0023,2.00,4.0,1000,486,32000,4.5
9,35900,0.034177,0.033071,-0.827925,0.8163,0.8156,0.1222,0.1413,0.0016,0.0026,2.00,4.0,1000,513,36000,5.1
10,39900,,,,,,,,,,2.00,4.0,1000,502,40000,5.4
11,43900,0.031765,0.031337,-0.852391,0.8473,0.8472,0.1275,0.1384,0.0042,0.0013,2.00,4.0,1000,487,44000,6.1
12,47900,0.029622,0.029413,-0.862048,0.8754,0.8753,0.1453,0.1476,0.0099,0.0009,2.00,4.0,1000,507,48000,6.7
13,51900,0.029635,0.029685,-0.886244,0.9055,0.9056,0.1745,0.2267,0.0174,0.0016,2.00,4.0,1000,516,52000,7.4
14,55900,0.028026,0.028007,-0.905643,0.9309,0.9309,0.1275,0.1372,0.0328,0.0028,2.00,4.0,1000,494,56000,8.2
15,59900,,,,,,,,,,2.00,4.0,1000,499,60000,8.4
16,63900,0.028109,0.028154,-0.928657,0.9609,0.9611,0.2133,0.1781,0.0584,0.0093,2.00,4.0,1000,506,64000,9.1
17,67900,0.026561,0.026497,-0.963859,0.9829,0.9828,0.2972,0.1919,0.1510,0.0093,2.00,4.0,1000,501,68000,9.7
18,71900,0.027488,0.027608,-1.020415,1.0120,1.0120,0.3550,0.2318,0.1366,0.0141,2.20,4.2,934,476,72000,10.4
19,75900,0.039391,0.040473,-1.082899,1.0500,1.0501,0.2465,0.3895,0.1490,0.0317,2.74,4.7,796,427,76000,11.1
20,79900,,,,,,,,,,6.51,8.5,475,238,80000,11.3
21,83900,0.051898,0.053184,-1.152295,1.1185,1.1187,0.4457,0.5426,0.0959,0.0344,8.68,10.7,351,193,84000,11.9
